marcSampleID	Sample_id	Block	Sample_name	AMF	Rhizobia	Species_name	Replicate	Pot	Person_harvest	Protocol	Type_sample	p1193R_bc	p799F_bc
Sample5	5	Block1	Alfalfa_1	AMF	Rhizo	Alfalfa	1	Brown	Nina	new	Root	R42	F70
Sample13	13	Block2	Alfalfa_2	AMF	Rhizo	Alfalfa	2	Brown	Natacha	new	Root	R41	F71
Sample34	34	Block4	Alfalfa_3	AMF	Rhizo	Alfalfa	3	Brown	Nina	new	Root	R41	F60
Sample34mix	34	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	R41	F61
Sample58	58	Block6	Alfalfa_4	AMF	Rhizo	Alfalfa	4	Brown	Natacha	new	Root	R47	F69
Sample90	90	Block9	Alfalfa_5	AMF	Rhizo	Alfalfa	5	Brown	Nina	new	Root	R40	F70
Sample72	72	Block8	Alfalfa_6	AMF	Rhizo	Alfalfa	6	Brown	Natacha	new	Root	R43	F61
Sample6	6	Block1	Arabidopsis_1	nonAMF	nonRhizo	Arabidopsis	1	Brown	Nina	Arabidopsis	Root	R40	F63
Sample8	8	Block1	Arabidopsis_2	nonAMF	nonRhizo	Arabidopsis	2	Brown	Natacha	Arabidopsis	Root	R43	F70
Sample35	35	Block4	Arabidopsis_3	nonAMF	nonRhizo	Arabidopsis	3	Brown	Nina	Arabidopsis	Root	R46	F64
Sample55	55	Block5	Arabidopsis_4	nonAMF	nonRhizo	Arabidopsis	4	Brown	Natacha	Arabidopsis	Root	R45	F64
Sample79	79	Block8	Arabidopsis_5	nonAMF	nonRhizo	Arabidopsis	5	Brown	Nina	Arabidopsis	Root	R40	F67
Sample85	85	Block9	Arabidopsis_6	nonAMF	nonRhizo	Arabidopsis	6	Brown	Natacha	Arabidopsis	Root	R42	F69
Sample20	20	Block2	Brassica_1	nonAMF	nonRhizo	Brassica	1	Brown	Nina	Arabidopsis	Root	R43	F71
Sample26	26	Block3	Brassica_2	nonAMF	nonRhizo	Brassica	2	Brown	Natacha	Arabidopsis	Root	R42	F65
Sample46	46	Block5	Brassica_3	nonAMF	nonRhizo	Brassica	3	Brown	Nina	Arabidopsis	Root	R47	F63
Sample43	43	Block4	Brassica_4	nonAMF	nonRhizo	Brassica	4	Brown	Natacha	Arabidopsis	Root	R47	F65
Sample70	70	Block7	Brassica_5	nonAMF	nonRhizo	Brassica	5	Brown	Nina	Arabidopsis	Root	R44	F65
Sample66	66	Block7	Brassica_6	nonAMF	nonRhizo	Brassica	6	Brown	Natacha	Arabidopsis	Root	R46	F67
Sample14	14	Block2	Brome_1	AMF	nonRhizo	Brome	1	Brown	Natacha	Petunia	Root	R46	F69
Sample48	48	Block6	Brome_2	AMF	nonRhizo	Brome	2	Brown	Nina	Petunia	Root	R40	F71
Sample84	84	Block9	Brome_3	AMF	nonRhizo	Brome	3	Brown	Nina	Petunia	Root	R48	F60
Sample18	18	Block3	Cardamine_1	nonAMF	nonRhizo	Cardamine	1	Brown	Natacha	Arabidopsis	Root	R45	F60
Sample7	7	Block2	Cardamine_2	nonAMF	nonRhizo	Cardamine	2	Brown	Nina	Arabidopsis	Root	R43	F66
Sample36	36	Block4	Cardamine_3	nonAMF	nonRhizo	Cardamine	3	Brown	Nina	Arabidopsis	Root	R46	F63
Sample42	42	Block4	Cardamine_4	nonAMF	nonRhizo	Cardamine	4	Brown	Natacha	Arabidopsis	Root	R45	F71
Sample87	87	Block9	Cardamine_5	nonAMF	nonRhizo	Cardamine	5	Brown	Nina	Arabidopsis	Root	R45	F66
Sample63	63	Block7	Cardamine_6	nonAMF	nonRhizo	Cardamine	6	Brown	Natacha	Arabidopsis	Root	R45	F67
Sample28	28	Block3	Lotus_1	AMF	Rhizo	Lotus	1	Brown	Nina	new	Root	R44	F66
