sample	forward	reverse
6	F63_799F	R40_1193R
8	F70_799F	R43_1193R
35	F64_799F	R46_1193R
55	F64_799F	R45_1193R
79	F67_799F	R40_1193R
85	F69_799F	R42_1193R
20	F71_799F	R43_1193R
26	F65_799F	R42_1193R
46	F63_799F	R47_1193R
43	F65_799F	R47_1193R
70	F65_799F	R44_1193R
66	F67_799F	R46_1193R
14	F69_799F	R46_1193R
48	F71_799F	R40_1193R
84	F60_799F	R48_1193R
18	F60_799F	R45_1193R
7	F66_799F	R43_1193R
36	F63_799F	R46_1193R
42	F71_799F	R45_1193R
87	F66_799F	R45_1193R
63	F67_799F	R45_1193R
12	F64_799F	R41_1193R
12C	F62_799F	R48_1193R
57	F68_799F	R47_1193R
57C	F65_799F	R43_1193R
81	F67_799F	R43_1193R
81C	F61_799F	R42_1193R
31	F68_799F	R44_1193R
10	F60_799F	R42_1193R
54	F63_799F	R44_1193R
50	F71_799F	R42_1193R
71	F64_799F	R48_1193R
78	F68_799F	R40_1193R
22	F66_799F	R40_1193R
11	F63_799F	R41_1193R
32	F63_799F	R42_1193R
61	F69_799F	R40_1193R
69	F71_799F	R44_1193R
83	F63_799F	R48_1193R
3	F68_799F	R42_1193R
56	F71_799F	R46_1193R
88	F65_799F	R46_1193R
29	F64_799F	R42_1193R
4	F61_799F	R48_1193R
15	F67_799F	R44_1193R
45	F65_799F	R48_1193R
59	F70_799F	R45_1193R
80	F61_799F	R40_1193R
86	F62_799F	R41_1193R
24	F63_799F	R45_1193R
2	F68_799F	R41_1193R
33	F62_799F	R40_1193R
39	F60_799F	R44_1193R
68	F62_799F	R45_1193R
91	F65_799F	R41_1193R
25	F64_799F	R40_1193R
27	F69_799F	R45_1193R
44	F66_799F	R47_1193R
37	F61_799F	R47_1193R
77	F62_799F	R47_1193R
76	F68_799F	R45_1193R
1	F65_799F	R40_1193R
21	F61_799F	R46_1193R
40	F68_799F	R43_1193R
60	F69_799F	R44_1193R
74	F70_799F	R41_1193R
67	F62_799F	R43_1193R
5	F70_799F	R42_1193R
13	F71_799F	R41_1193R
34	F60_799F	R41_1193R
34mix	F61_799F	R41_1193R
58	F69_799F	R47_1193R
90	F70_799F	R40_1193R
72	F61_799F	R43_1193R
28	F66_799F	R44_1193R
53	F67_799F	R41_1193R
75	F60_799F	R47_1193R
16	F64_799F	R43_1193R
62	F66_799F	R48_1193R
23	F62_799F	R46_1193R
52	F67_799F	R42_1193R
89	F61_799F	R45_1193R
9	F64_799F	R47_1193R
47	F67_799F	R48_1193R
19	F66_799F	R42_1193R
17	F69_799F	R41_1193R
38	F70_799F	R46_1193R
38mix	F62_799F	R42_1193R
41	F66_799F	R41_1193R
41lo	F60_799F	R40_1193R
82	F60_799F	R46_1193R
82lo	F65_799F	R45_1193R
73	F68_799F	R46_1193R
30	F69_799F	R43_1193R
30lo	F66_799F	R46_1193R
51	F62_799F	R44_1193R
64	F70_799F	R44_1193R
67mix	F63_799F	R43_1193R
49	F61_799F	R44_1193R
39lo	F67_799F	R47_1193R
65	F60_799F	R43_1193R
65lo	F64_799F	R44_1193R
Brown1	F48_799F	R22_1193R
Brown2	F48_799F	R23_1193R
Brown3	F48_799F	R24_1193R
Brown4	F48_799F	R25_1193R
Brown5	F50_799F	R27_1193R
Brown6	F51_799F	R27_1193R
Empty1	F52_799F	R25_1193R
Empty2	F52_799F	R27_1193R
Grey1	F48_799F	R18_1193R
Grey2	F48_799F	R19_1193R
Grey3	F48_799F	R20_1193R
Grey4	F48_799F	R21_1193R
Grey5	F46_799F	R27_1193R
Grey6	F49_799F	R27_1193R
Nod12	F52_799F	R23_1193R
Nod30	F51_799F	R18_1193R
Nod34	F51_799F	R19_1193R
Nod38	F51_799F	R20_1193R
Nod41	F51_799F	R21_1193R
Nod47	F51_799F	R22_1193R
Nod49	F51_799F	R23_1193R
Nod51	F51_799F	R24_1193R
Nod57	F52_799F	R24_1193R
Nod62	F51_799F	R25_1193R
Nod64	F52_799F	R18_1193R
Nod65	F52_799F	R19_1193R
Nod75	F52_799F	R20_1193R
Nod81	F52_799F	R21_1193R
Nod82	F52_799F	R22_1193R
Unknown1	F70_799F	R47_1193R
Unknown2	F71_799F	R47_1193R
Unknown3	F68_799F	R48_1193R
Unknown4	F69_799F	R48_1193R
Unknown5	F70_799F	R48_1193R
Unknown6	F71_799F	R48_1193R
