marcSampleID	Sample_id	Block	Sample_name	AMF	Rhizobia	Species_name	Replicate	Pot	Person_harvest	Protocol	Type_sample	pITS2_bc	pITS1f_bc
Sample5	5	Block1	Alfalfa_1	AMF	Rhizo	Alfalfa	1	Brown	Nina	new	Root	R9	F56
Sample13	13	Block2	Alfalfa_2	AMF	Rhizo	Alfalfa	2	Brown	Natacha	new	Root	R14	F55
Sample34	34	Block4	Alfalfa_3	AMF	Rhizo	Alfalfa	3	Brown	Nina	new	Root	R7	F48
Sample34mix	34	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	R8	F48
Sample58	58	Block6	Alfalfa_4	AMF	Rhizo	Alfalfa	4	Brown	Natacha	new	Root	R16	F50
Sample90	90	Block9	Alfalfa_5	AMF	Rhizo	Alfalfa	5	Brown	Nina	new	Root	R9	F55
Sample72	72	Block8	Alfalfa_6	AMF	Rhizo	Alfalfa	6	Brown	Natacha	new	Root	R8	F50
Sample6	6	Block1	Arabidopsis_1	nonAMF	nonRhizo	Arabidopsis	1	Brown	Nina	Arabidopsis	Root	R10	F47
Sample8	8	Block1	Arabidopsis_2	nonAMF	nonRhizo	Arabidopsis	2	Brown	Natacha	Arabidopsis	Root	R13	F56
Sample35	35	Block4	Arabidopsis_3	nonAMF	nonRhizo	Arabidopsis	3	Brown	Nina	Arabidopsis	Root	R11	F53
Sample55	55	Block5	Arabidopsis_4	nonAMF	nonRhizo	Arabidopsis	4	Brown	Natacha	Arabidopsis	Root	R11	F52
Sample79	79	Block8	Arabidopsis_5	nonAMF	nonRhizo	Arabidopsis	5	Brown	Nina	Arabidopsis	Root	R14	F47
Sample85	85	Block9	Arabidopsis_6	nonAMF	nonRhizo	Arabidopsis	6	Brown	Natacha	Arabidopsis	Root	R8	F56
Sample20	20	Block2	Brassica_1	nonAMF	nonRhizo	Brassica	1	Brown	Nina	Arabidopsis	Root	R14	F56
Sample26	26	Block3	Brassica_2	nonAMF	nonRhizo	Brassica	2	Brown	Natacha	Arabidopsis	Root	R12	F49
Sample46	46	Block5	Brassica_3	nonAMF	nonRhizo	Brassica	3	Brown	Nina	Arabidopsis	Root	R10	F54
Sample43	43	Block4	Brassica_4	nonAMF	nonRhizo	Brassica	4	Brown	Natacha	Arabidopsis	Root	R12	F54
Sample70	70	Block7	Brassica_5	nonAMF	nonRhizo	Brassica	5	Brown	Nina	Arabidopsis	Root	R12	F51
