sample	forward	reverse
6	F47_ITS1F	R10_ITS2
8	F56_ITS1F	R13_ITS2
35	F53_ITS1F	R11_ITS2
55	F52_ITS1F	R11_ITS2
79	F47_ITS1F	R14_ITS2
85	F56_ITS1F	R8_ITS2
20	F56_ITS1F	R14_ITS2
26	F49_ITS1F	R12_ITS2
46	F54_ITS1F	R10_ITS2
43	F54_ITS1F	R12_ITS2
70	F51_ITS1F	R12_ITS2
66	F53_ITS1F	R14_ITS2
14	F49_ITS1F	R16_ITS2
48	F55_ITS1F	R10_ITS2
84	F51_ITS1F	R15_ITS2
18	F52_ITS1F	R7_ITS2
7	F53_ITS1F	R15_ITS2
36	F53_ITS1F	R10_ITS2
42	F48_ITS1F	R18_ITS2
87	F52_ITS1F	R13_ITS2
63	F52_ITS1F	R14_ITS2
12	F48_ITS1F	R11_ITS2
12C	F51_ITS1F	R17_ITS2
57	F50_ITS1F	R15_ITS2
57C	F50_ITS1F	R12_ITS2
81	F53_ITS1F	R16_ITS2
81C	F49_ITS1F	R8_ITS2
31	F47_ITS1F	R15_ITS2
10	F49_ITS1F	R7_ITS2
54	F51_ITS1F	R10_ITS2
50	F56_ITS1F	R10_ITS2
71	F52_ITS1F	R15_ITS2
78	F55_ITS1F	R7_ITS2
22	F47_ITS1F	R13_ITS2
11	F48_ITS1F	R10_ITS2
32	F49_ITS1F	R10_ITS2
61	F55_ITS1F	R8_ITS2
69	F47_ITS1F	R18_ITS2
83	F51_ITS1F	R18_ITS2
3	F56_ITS1F	R7_ITS2
56	F49_ITS1F	R18_ITS2
88	F53_ITS1F	R12_ITS2
29	F49_ITS1F	R11_ITS2
4	F51_ITS1F	R16_ITS2
15	F51_ITS1F	R14_ITS2
45	F52_ITS1F	R16_ITS2
59	F48_ITS1F	R17_ITS2
80	F47_ITS1F	R8_ITS2
86	F48_ITS1F	R9_ITS2
24	F52_ITS1F	R10_ITS2
2	F55_ITS1F	R11_ITS2
33	F47_ITS1F	R9_ITS2
39	F51_ITS1F	R7_ITS2
68	F52_ITS1F	R9_ITS2
91	F48_ITS1F	R12_ITS2
25	F47_ITS1F	R11_ITS2
27	F48_ITS1F	R16_ITS2
44	F53_ITS1F	R17_ITS2
37	F54_ITS1F	R8_ITS2
77	F54_ITS1F	R9_ITS2
76	F48_ITS1F	R15_ITS2
1	F47_ITS1F	R12_ITS2
21	F53_ITS1F	R8_ITS2
40	F56_ITS1F	R11_ITS2
60	F47_ITS1F	R16_ITS2
74	F55_ITS1F	R13_ITS2
67	F50_ITS1F	R9_ITS2
5	F56_ITS1F	R9_ITS2
13	F55_ITS1F	R14_ITS2
34	F48_ITS1F	R7_ITS2
34mix	F48_ITS1F	R8_ITS2
58	F50_ITS1F	R16_ITS2
90	F55_ITS1F	R9_ITS2
72	F50_ITS1F	R8_ITS2
28	F51_ITS1F	R13_ITS2
53	F48_ITS1F	R14_ITS2
75	F54_ITS1F	R7_ITS2
16	F50_ITS1F	R11_ITS2
62	F52_ITS1F	R17_ITS2
23	F53_ITS1F	R9_ITS2
52	F49_ITS1F	R14_ITS2
89	F52_ITS1F	R8_ITS2
9	F54_ITS1F	R11_ITS2
47	F52_ITS1F	R18_ITS2
19	F49_ITS1F	R13_ITS2
17	F55_ITS1F	R12_ITS2
38	F49_ITS1F	R17_ITS2
38mix	F49_ITS1F	R9_ITS2
41	F48_ITS1F	R13_ITS2
41lo	F47_ITS1F	R7_ITS2
82	F53_ITS1F	R7_ITS2
82lo	F52_ITS1F	R12_ITS2
73	F49_ITS1F	R15_ITS2
30	F56_ITS1F	R12_ITS2
30lo	F53_ITS1F	R13_ITS2
51	F51_ITS1F	R9_ITS2
64	F47_ITS1F	R17_ITS2
67mix	F50_ITS1F	R10_ITS2
49	F51_ITS1F	R8_ITS2
39lo	F53_ITS1F	R18_ITS2
65	F50_ITS1F	R7_ITS2
65lo	F51_ITS1F	R11_ITS2
Unknown7	F50_ITS1F	R13_ITS2
Unknown8	F54_ITS1F	R13_ITS2
Unknown9	F50_ITS1F	R14_ITS2
Unknown10	F54_ITS1F	R14_ITS2
Unknown11	F54_ITS1F	R15_ITS2
Unknown12	F55_ITS1F	R15_ITS2
Unknown13	F56_ITS1F	R15_ITS2
Unknown14	F54_ITS1F	R16_ITS2
Unknown15	F55_ITS1F	R16_ITS2
Unknown16	F56_ITS1F	R16_ITS2
Unknown17	F50_ITS1F	R17_ITS2
Unknown18	F54_ITS1F	R17_ITS2
Unknown19	F55_ITS1F	R17_ITS2
Unknown20	F56_ITS1F	R17_ITS2
Unknown21	F50_ITS1F	R18_ITS2
Unknown22	F54_ITS1F	R18_ITS2
Unknown23	F55_ITS1F	R18_ITS2
Unknown24	F56_ITS1F	R18_ITS2
